Id,avg_steps
1503960366,11935.78
1624580081,5167.2
1644430081,7780.925
1844505072,2876.0232558139537
1927972279,1269.0697674418604
2022484408,11595.093023255815
2026352035,4960.139534883721
2320127002,4276.372093023256
2347167796,9647.121212121212
2873212765,7299.2558139534885
2891001357,773.625
3372868164,6616.933333333333
3977333714,10321.52380952381
4020332650,4049.7619047619046
4057192912,2103.972222222222
4319703577,7422.813953488372
4388161847,8595.692307692309
4445114986,4632.369565217391
4558609924,7154.930232558139
4702921684,8367.065217391304
5553957443,8540.627906976744
5577150313,8385.926829268292
6117666160,7363
6290855005,4615.846153846154
6391747486,1336.888888888889
6775888955,3301.2285714285713
6962181067,10679.888888888889
7007744171,11619.28947368421
7086361926,8459.813953488372
8053475328,14784.52380952381
8253242879,4898.064516129032
8378563200,8555.162790697674
8583815059,6346.615384615385
8792009665,2217
8877689391,16424.325581395347
