Id,first_wt,last_wt,change,percentage
1503960366,53.2999992370605,52.5999984741211,-0.7000007629393963,-1.330799968147894
1927972279,129.600006103516,133.5,3.8999938964840055,2.9213437426846482
2347167796,63.4000015258789,63.4000015258789,0,0
2873212765,56.7000007629395,57.2999992370605,0.5999984741209943,1.047117769825252
2891001357,88.4000015258789,88.4000015258789,0,0
4319703577,72.4000015258789,72.3000030517578,-0.09999847412110796,-0.1383104701247682
4445114986,92.4000015258789,92.4000015258789,0,0
4558609924,69.4000015258789,69.0999984741211,-0.3000030517578125,-0.43415782689223614
4702921684,99.6999969482422,99.6999969482422,0,0
5577150313,90.6999969482422,90.6999969482422,0,0
6962181067,61.5,61.9000015258789,0.40000152587889914,0.6462060032610308
8253242879,75.5999984741211,75.5999984741211,0,0
8877689391,85.5,84,-1.5,-1.7857142857142856
